Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Website Wireframes",2025-10-20,2025-10-24,5 day,0,"","",241,"<p><br></p>"
1,5,"Requirements Analysis",2025-10-13,2025-10-24,10 day,0,"","",,"<p><br></p>"
1,3,"App.py (endpoints logic)",2025-10-27,2025-11-04,7 day,0,"","",61,"<p><br></p>"
1,4,"Base (HTML)",2025-10-27,2025-11-04,7 day,0,"","",,"<p><br></p>"
1,6,"Style (CSS)",2025-10-27,2025-10-31,5 day,0,"","",151,"<p><br></p>"
1,7,"Login (HTML)",2025-10-30,2025-11-07,7 day,0,"","",,"<p><br></p>"
1,8,"Register (HTML)",2025-10-30,2025-11-07,7 day,0,"","",,"<p><br></p>"
1,9,"Registration & Authentication (/Auth)",2025-10-30,2025-11-14,12 day,0,"","",61,"<p><br></p>"
1,10,"User Profile (HTML)",2025-11-10,2025-11-14,5 day,0,"","",,"<p><br></p>"
1,11,"User Profile (Py / SQL)",2025-11-10,2025-11-14,5 day,0,"","",61,"<p><br></p>"
1,12,"Video (HTML)",2025-11-17,2025-11-21,5 day,0,"","",211,"<p><br></p>"
1,13,"Video (Py / SQL)",2025-11-17,2025-11-21,5 day,0,"","",61,"<p><br></p>"
1,14,"Articles (HTML)",2025-11-24,2025-11-28,5 day,0,"","",211,"<p><br></p>"
1,15,"Articles (Py / SQL)",2025-11-24,2025-11-28,5 day,0,"","",61,"<p><br></p>"
1,16,"Maps (HTML)",2025-12-08,2025-12-12,5 day,0,"","",211,"<p><br></p>"
1,17,"Search functionality (HTML)",2025-12-01,2025-12-05,5 day,0,"","",211,"<p><br></p>"
1,18,"Search functionality (Py / SQL)",2025-12-01,2025-12-05,5 day,0,"","",61,"<p><br></p>"